time,subject,fuzzer,run,cov_type,cov
1615973118,lightftp,aflnet,3,l_abs,532
1615973118,lightftp,aflnet,3,b_per,29.9
1615973118,lightftp,aflnet,3,b_abs,234
1615973146,lightftp,aflnet,3,l_per,50.9
1615973146,lightftp,aflnet,3,l_abs,574
1615973146,lightftp,aflnet,3,b_per,32.2
1615973146,lightftp,aflnet,3,b_abs,252
1615973176,lightftp,aflnet,3,l_per,51.1
1615973176,lightftp,aflnet,3,l_abs,576
1615973176,lightftp,aflnet,3,b_per,32.5
1615973176,lightftp,aflnet,3,b_abs,254
1615973220,lightftp,aflnet,3,l_per,51.5
1615973220,lightftp,aflnet,3,l_abs,581
1615973220,lightftp,aflnet,3,b_per,33.2
1615973220,lightftp,aflnet,3,b_abs,260
1615973252,lightftp,aflnet,3,l_per,51.8
1615973252,lightftp,aflnet,3,l_abs,584
1615973252,lightftp,aflnet,3,b_per,33.4
1615973252,lightftp,aflnet,3,b_abs,261
1615973285,lightftp,aflnet,3,l_per,52.5
1615973285,lightftp,aflnet,3,l_abs,592
1615973285,lightftp,aflnet,3,b_per,33.9
1615973285,lightftp,aflnet,3,b_abs,265
1615973312,lightftp,aflnet,3,l_per,53.4
1615973312,lightftp,aflnet,3,l_abs,602
1615973312,lightftp,aflnet,3,b_per,35.3
1615973312,lightftp,aflnet,3,b_abs,276
1615973373,lightftp,aflnet,3,l_per,53.4
1615973373,lightftp,aflnet,3,l_abs,602
1615973373,lightftp,aflnet,3,b_per,35.3
1615973373,lightftp,aflnet,3,b_abs,276
1615973389,lightftp,aflnet,3,l_per,53.5
1615973389,lightftp,aflnet,3,l_abs,604
1615973389,lightftp,aflnet,3,b_per,35.5
1615973389,lightftp,aflnet,3,b_abs,278
1615973427,lightftp,aflnet,3,l_per,53.5
1615973427,lightftp,aflnet,3,l_abs,604
1615973427,lightftp,aflnet,3,b_per,35.5
1615973427,lightftp,aflnet,3,b_abs,278
1615973487,lightftp,aflnet,3,l_per,53.5
